name;Total_cap;Total_util;LON-MWEDGE-02-cap;LON-MWEDGE-02-util;FRA-MWEDGE-02-cap;FRA-MWEDGE-02-util;AMS-MWEDGE-02-cap;AMS-MWEDGE-02-util
Greyhound Spanish (3);600;104;200;63;200;41;200;0
Greyhound Europe (2) + 49s Lotto;300;13;100;7;100;6;100;0
SIS World ROW;300;26;100;25;100;1;100;0
Horse Europe 2 (6A) (exc. German);150;0;50;0;50;0;50;0
Greyhound Europe (2);100;10;50;1;0;9;50;0
LARCOne;150;1;50;1;50;0;50;0
RTVi;300;8;100;2;100;6;100;0
Coral TV1;150;2;50;0;50;2;50;0
Coral TV2;150;2;50;1;50;1;50;0
Hong Kong Jockey Club;150;1;50;0;50;1;50;0
Equidia;150;0;50;0;50;0;50;0
SIS Europe;150;7;50;7;50;0;50;0
Horse International (7);150;3;50;2;50;1;50;0
SIS Two;150;2;50;0;50;2;50;0
SIS One ;150;2;50;2;50;0;50;0
Zenitech CAP QuadSplit;150;1;50;1;50;0;50;0
Ladbrokes TV2;150;1;50;0;50;1;50;0
LARC TV2;150;1;50;1;50;0;50;0
Competitive Gaming;150;1;50;1;50;0;50;0
Mixed Europe (9);600;2;200;2;200;0;200;0
SIS TOTE Greyhound Domestic (1A);150;3;50;0;50;3;50;0
Mixed Euro+Virt (9V);150;0;50;0;50;0;50;0
Ladbrokes TV3;150;1;50;1;50;0;50;0
Ladbrokes TV1;150;1;50;0;50;1;50;0
REMMultiviewer;150;7;50;7;50;0;50;0
MTXMultiviewer;150;1;50;0;50;1;50;0
MV 1-8;150;0;50;0;50;0;50;0
MV 10-17;150;0;50;0;50;0;50;0
MV 18-25;150;0;50;0;50;0;50;0
Horse Europe (6);150;1;50;0;50;1;50;0
lowbitrateGreyhound Spanish (3);150;1;50;1;50;0;50;0
lowbitrateGreyhound Europe (2) + 49s Lotto;150;8;50;1;50;7;50;0
lowbitrateSIS World ROW;150;0;50;0;50;0;50;0
lowbitrateHorse Europe 2 (6A) (exc. German);150;0;50;0;50;0;50;0
lowbitrateGreyhound Europe (2);150;4;50;1;50;3;50;0
lowbitrateLARCOne;150;0;50;0;50;0;50;0
lowbitrateRTVi;150;1;50;1;50;0;50;0
lowbitrateCoral TV1;150;0;50;0;50;0;50;0
lowbitrateCoral TV2;150;0;50;0;50;0;50;0
lowbitrateHong Kong Jockey Club;150;0;50;0;50;0;50;0
lowbitrateEquidia;150;0;50;0;50;0;50;0
lowbitrateSIS Europe;150;0;50;0;50;0;50;0
lowbitrateHorse International (7);150;0;50;0;50;0;50;0
lowbitrateSIS Two;150;0;50;0;50;0;50;0
lowbitrateSIS One ;150;0;50;0;50;0;50;0
lowbitrateLadbrokes TV2;150;0;50;0;50;0;50;0
lowbitrateLARC TV2;150;0;50;0;50;0;50;0
lowbitrateCompetitive Gaming;150;0;50;0;50;0;50;0
lowbitrateMixed Europe (9);150;0;50;0;50;0;50;0
lowbitrateSIS TOTE Greyhound Domestic (1A);150;0;50;0;50;0;50;0
lowbitrateMixed Euro+Virt (9V);150;0;50;0;50;0;50;0
lowbitrateLadbrokes TV3;150;0;50;0;50;0;50;0
lowbitrateLadbrokes TV1;150;0;50;0;50;0;50;0
lowbitrateREMMultiviewer;150;0;50;0;50;0;50;0
lowbitrateMTXMultiviewer;150;0;50;0;50;0;50;0
lowbitrateHorse Europe (6);150;0;50;0;50;0;50;0
Paddy Power TV1;150;4;50;0;50;4;50;0
Channel11V Mixed SA + Virtuals;150;1;50;1;50;0;50;0
lowbitrateChannel11V Mixed SA + Virtuals;150;0;50;0;50;0;50;0
