stream;input_output;Name;mwname;protocol;port;sourceAddress;transmission;preserveHeaders;enableCorrection;networkInterface;encryption;passphrase;maxConnections;maxBandwidth;mwcore_address;mwedge;api_key
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6000;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6001;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6002;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6003;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_1.9_Mb;Hong Kong_1.9_Mb_output;SRT;6004;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6005;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6006;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6007;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6008;0;0;0;0;0;16;football2020;5;0;;;
;output;Hong Kong_2.6_Mb;Hong Kong_2.6_Mb_output;SRT;6009;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6010;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6011;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6012;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6013;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_1.9_Mb;CAP Dev_1.9_Mb_output;SRT;6014;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6015;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6016;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6017;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6018;0;0;0;0;0;16;football2020;5;0;;;
;output;CAP Dev_2.6_Mb;CAP Dev_2.6_Mb_output;SRT;6019;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6020;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6021;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6022;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6023;0;0;0;0;0;16;football2020;5;0;;;
;output;SIS_ROTW_1.9_Mb;SIS_ROTW_1.9_Mb_output;SRT;6024;0;0;0;0;0;16;football2020;5;0;;;
